Altium Designer Pick and Place Locations
C:\Users\gharris\projects\keyboard\pokey\pokey\Manufacturing\pokey v1.0-A01\Pick and Place\Pick and Place (pokey v1.0-A01).csv

========================================================================================================================
File Design Information:

Date:       29/06/19
Time:       18:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"S1.3.37","SW-SPST","TopLayer","PG1350","3688.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.36","SW-SPST","TopLayer","PG1350","4438.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.35","SW-SPST","TopLayer","PG1350","5188.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.34","SW-SPST","TopLayer","PG1350","5938.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.33","SW-SPST","TopLayer","PG1350","6688.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.32","SW-SPST","TopLayer","PG1350","7438.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.31","SW-SPST","TopLayer","PG1350","8188.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.30","SW-SPST","TopLayer","PG1350","8938.913","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.29","SW-SPST","TopLayer","PG1350","9970.163","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.28","SW-SPST","TopLayer","PG1350","595.163","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.27","SW-SPST","TopLayer","PG1350","1438.913","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.26","SW-SPST","TopLayer","PG1350","2188.913","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.25","SW-SPST","TopLayer","PG1350","2938.913","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.24","SW-SPST","TopLayer","PG1350","3876.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.23","SW-SPST","TopLayer","PG1350","4813.913","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.22","SW-SPST","TopLayer","PG1350","5563.913","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.21","SW-SPST","TopLayer","PG1350","6501.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.20","SW-SPST","TopLayer","PG1350","7438.913","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.19","SW-SPST","TopLayer","PG1350","8376.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.18","SW-SPST","TopLayer","PG1350","9407.663","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.17","SW-SPST","TopLayer","PG1350","10251.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.16","SW-SPST","TopLayer","PG1350","11001.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.15","SW-SPST","TopLayer","PG1350","11751.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.14","SW-SPST","TopLayer","PG1350","11001.413","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.13","SW-SPST","TopLayer","PG1350","11751.413","2719.527","90","Single-Pole, Single-Throw Switch"
"S1.3.12","SW-SPST","TopLayer","PG1350","12501.413","2719.527","90","Single-Pole, Single-Throw Switch"
"S1.3.11","SW-SPST","TopLayer","PG1350","13251.413","2719.527","90","Single-Pole, Single-Throw Switch"
"S1.3.10","SW-SPST","TopLayer","PG1350","11751.413","1969.527","90","Single-Pole, Single-Throw Switch"
"S1.3.9","SW-SPST","TopLayer","PG1350","12501.413","1969.527","90","Single-Pole, Single-Throw Switch"
"S1.3.8","SW-SPST","TopLayer","PG1350","13251.413","1969.527","90","Single-Pole, Single-Throw Switch"
"S1.3.7","SW-SPST","TopLayer","PG1350","14001.413","2344.527","90","Single-Pole, Single-Throw Switch"
"S1.3.6","SW-SPST","TopLayer","PG1350","11751.413","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.5","SW-SPST","TopLayer","PG1350","12501.413","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.4","SW-SPST","TopLayer","PG1350","13251.413","1219.527","90","Single-Pole, Single-Throw Switch"
"S1.3.3","SW-SPST","TopLayer","PG1350","12501.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.2","SW-SPST","TopLayer","PG1350","13251.413","469.527","90","Single-Pole, Single-Throw Switch"
"S1.3.1","SW-SPST","TopLayer","PG1350","14001.413","844.527","90","Single-Pole, Single-Throw Switch"
"R8.2","100k","BottomLayer","0402","10382.500","2633.484","90",""
"R7.2","1k","BottomLayer","0402","9872.126","3435.772","90",""
"R6.2","100k","BottomLayer","0402","10427.500","2633.484","90",""
"R5.2","1k","BottomLayer","0402","10242.126","3188.804","270",""
"R4.2","10k","BottomLayer","0402","5427.500","3608.484","90",""
"R3.2","10k","BottomLayer","0402","372.500","3603.484","270",""
"D2.3.85","","BottomLayer","SOD-80","472.067","3367.500","180",""
"D2.3.84","","BottomLayer","SOD-80","1222.067","3367.500","180",""
"D2.3.83","","BottomLayer","SOD-80","1972.067","3367.500","180",""
"D2.3.82","","BottomLayer","SOD-80","2722.067","3367.500","180",""
"D2.3.81","","BottomLayer","SOD-80","3472.067","3367.500","180",""
"D2.3.80","","BottomLayer","SOD-80","4222.067","3367.500","180",""
"D2.3.79","","BottomLayer","SOD-80","4972.067","3367.500","180",""
"D2.3.78","","BottomLayer","SOD-80","5722.067","3367.500","180",""
"D2.3.77","","BottomLayer","SOD-80","6472.067","3367.500","180",""
"D2.3.76","","BottomLayer","SOD-80","7222.067","3367.500","180",""
"D2.3.75","","BottomLayer","SOD-80","7972.067","3367.500","180",""
"D2.3.74","","BottomLayer","SOD-80","8722.067","3367.500","180",""
"D2.3.73","","BottomLayer","SOD-80","9472.067","3367.500","180",""
"D2.3.72","","BottomLayer","SOD-80","10597.067","3367.500","180",""
"D2.3.71","","BottomLayer","SOD-80","11722.066","3367.500","180",""
"D2.3.70","","BottomLayer","SOD-80","12463.858","3363.682","180",""
"D2.3.69","","BottomLayer","SOD-80","13222.066","3367.500","180",""
"D2.3.68","","BottomLayer","SOD-80","13972.066","3367.500","180",""
"D2.3.67","","BottomLayer","SOD-80","659.567","2617.500","180",""
"D2.3.66","","BottomLayer","SOD-80","1597.067","2617.500","180",""
"D2.3.65","","BottomLayer","SOD-80","2347.067","2617.500","180",""
"D2.3.64","","BottomLayer","SOD-80","3097.067","2617.500","180",""
"D2.3.63","","BottomLayer","SOD-80","3847.067","2617.500","180",""
"D2.3.62","","BottomLayer","SOD-80","4597.067","2617.500","180",""
"D2.3.61","","BottomLayer","SOD-80","5347.067","2617.500","180",""
"D2.3.60","","BottomLayer","SOD-80","6097.067","2617.500","180",""
"D2.3.59","","BottomLayer","SOD-80","6847.067","2617.500","180",""
"D2.3.58","","BottomLayer","SOD-80","7597.067","2617.500","180",""
"D2.3.57","","BottomLayer","SOD-80","8347.067","2617.500","180",""
"D2.3.56","","BottomLayer","SOD-80","9097.067","2617.500","180",""
"D2.3.55","","BottomLayer","SOD-80","9847.067","2617.500","180",""
"D2.3.54","","BottomLayer","SOD-80","10784.567","2617.500","180",""
"D2.3.53","","BottomLayer","SOD-80","847.067","1867.500","180",""
"D2.3.52","","BottomLayer","SOD-80","1784.567","1867.500","180",""
"D2.3.51","","BottomLayer","SOD-80","2534.567","1867.500","180",""
"D2.3.50","","BottomLayer","SOD-80","3284.567","1867.500","180",""
"D2.3.49","","BottomLayer","SOD-80","4034.567","1867.500","180",""
"D2.3.48","","BottomLayer","SOD-80","4784.567","1867.500","180",""
"D2.3.47","","BottomLayer","SOD-80","5534.567","1867.500","180",""
"D2.3.46","","BottomLayer","SOD-80","6284.567","1867.500","180",""
"D2.3.45","","BottomLayer","SOD-80","7034.567","1867.500","180",""
"D2.3.44","","BottomLayer","SOD-80","7784.567","1867.500","180",""
"D2.3.43","","BottomLayer","SOD-80","8534.567","1867.500","180",""
"D2.3.42","","BottomLayer","SOD-80","9284.567","1867.500","180",""
"D2.3.41","","BottomLayer","SOD-80","10503.317","1867.500","180",""
"D2.3.40","","BottomLayer","SOD-80","1034.567","1117.500","180",""
"D2.3.39","","BottomLayer","SOD-80","2159.567","1117.500","180",""
"D2.3.38","","BottomLayer","SOD-80","2909.567","1117.500","180",""
"D2.3.37","","BottomLayer","SOD-80","3659.567","1117.500","180",""
"D2.3.36","","BottomLayer","SOD-80","4409.567","1117.500","180",""
"D2.3.35","","BottomLayer","SOD-80","5159.567","1117.500","180",""
"D2.3.34","","BottomLayer","SOD-80","5909.567","1117.500","180",""
"D2.3.33","","BottomLayer","SOD-80","6659.567","1117.500","180",""
"D2.3.32","","BottomLayer","SOD-80","7409.567","1117.500","180",""
"D2.3.31","","BottomLayer","SOD-80","8159.567","1117.500","180",""
"D2.3.30","","BottomLayer","SOD-80","8909.567","1117.500","180",""
"D2.3.29","","BottomLayer","SOD-80","9940.817","1117.500","180",""
"D2.3.28","","BottomLayer","SOD-80","565.817","367.500","180",""
"D2.3.27","","BottomLayer","SOD-80","1409.567","367.500","180",""
"D2.3.26","","BottomLayer","SOD-80","2159.567","367.500","180",""
"D2.3.25","","BottomLayer","SOD-80","2909.567","367.500","180",""
"D2.3.24","","BottomLayer","SOD-80","3847.067","367.500","180",""
"D2.3.23","","BottomLayer","SOD-80","4784.567","367.500","180",""
"D2.3.22","","BottomLayer","SOD-80","5534.567","367.500","180",""
"D2.3.21","","BottomLayer","SOD-80","6472.067","367.500","180",""
"D2.3.20","","BottomLayer","SOD-80","7409.567","367.500","180",""
"D2.3.19","","BottomLayer","SOD-80","8347.066","367.500","180",""
"D2.3.18","","BottomLayer","SOD-80","9378.317","367.500","180",""
"D2.3.17","","BottomLayer","SOD-80","10222.066","367.500","180",""
"D2.3.16","","BottomLayer","SOD-80","10972.066","367.500","180",""
"D2.3.15","","BottomLayer","SOD-80","11722.066","367.500","180",""
"D2.3.14","","BottomLayer","SOD-80","10972.066","1117.500","180",""
"D2.3.13","","BottomLayer","SOD-80","11722.066","2617.500","180",""
"D2.3.12","","BottomLayer","SOD-80","12472.066","2617.500","180",""
"D2.3.11","","BottomLayer","SOD-80","13222.066","2617.500","180",""
"D2.3.10","","BottomLayer","SOD-80","11722.066","1867.500","180",""
"D2.3.9","","BottomLayer","SOD-80","12472.066","1867.500","180",""
"D2.3.8","","BottomLayer","SOD-80","13222.066","1867.500","180",""
"D2.3.7","","BottomLayer","SOD-80","13972.066","2242.500","180",""
"D2.3.6","","BottomLayer","SOD-80","11722.066","1117.500","180",""
"D2.3.5","","BottomLayer","SOD-80","12472.066","1117.500","180",""
"D2.3.4","","BottomLayer","SOD-80","13222.066","1117.500","180",""
"D2.3.3","","BottomLayer","SOD-80","12472.067","367.500","180",""
"D2.3.2","","BottomLayer","SOD-80","13222.066","367.500","180",""
"D2.3.1","","BottomLayer","SOD-80","13972.066","742.500","180",""
"D1.3.85","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","501.414","3688.406","180",""
"D1.3.84","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","1251.414","3688.406","180",""
"D1.3.83","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2001.414","3688.406","180",""
"D1.3.82","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2751.414","3688.406","180",""
"D1.3.81","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","3501.414","3688.406","180",""
"D1.3.80","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","4251.414","3688.406","180",""
"D1.3.79","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5001.414","3688.406","180",""
"D1.3.78","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5751.414","3688.406","180",""
"D1.3.77","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","6501.414","3688.406","180",""
"D1.3.76","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","7251.414","3688.406","180",""
"D1.3.75","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8001.414","3688.406","180",""
"D1.3.74","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8751.414","3688.406","180",""
"D1.3.73","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","9501.414","3688.406","180",""
"D1.3.72","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","10626.414","3688.406","180",""
"D1.3.71","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11751.412","3688.406","180",""
"D1.3.70","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","12493.204","3684.588","180",""
"D1.3.69","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","13251.412","3688.406","180",""
"D1.3.68","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","14001.412","3688.406","180",""
"D1.3.67","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","688.914","2938.406","180",""
"D1.3.66","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","1626.414","2938.406","180",""
"D1.3.65","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2376.414","2938.406","180",""
"D1.3.64","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","3126.414","2938.406","180",""
"D1.3.63","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","3876.414","2938.406","180",""
"D1.3.62","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","4626.414","2938.406","180",""
"D1.3.61","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5376.414","2938.406","180",""
"D1.3.60","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","6126.414","2938.406","180",""
"D1.3.59","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","6876.414","2938.406","180",""
"D1.3.58","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","7626.414","2938.406","180",""
"D1.3.57","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8376.414","2938.406","180",""
"D1.3.56","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","9126.414","2938.406","180",""
"D1.3.55","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","9876.414","2938.406","180",""
"D1.3.54","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","10813.914","2938.406","180",""
"D1.3.53","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","876.414","2188.406","180",""
"D1.3.52","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","1813.914","2188.406","180",""
"D1.3.51","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2563.914","2188.406","180",""
"D1.3.50","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","3313.914","2188.406","180",""
"D1.3.49","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","4063.914","2188.406","180",""
"D1.3.48","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","4813.914","2188.406","180",""
"D1.3.47","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5563.914","2188.406","180",""
"D1.3.46","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","6313.914","2188.406","180",""
"D1.3.45","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","7063.914","2188.406","180",""
"D1.3.44","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","7813.914","2188.406","180",""
"D1.3.43","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8563.914","2188.406","180",""
"D1.3.42","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","9313.914","2188.406","180",""
"D1.3.41","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","10532.664","2188.406","180",""
"D1.3.40","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","1063.914","1438.406","180",""
"D1.3.39","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2188.914","1438.406","180",""
"D1.3.38","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2938.914","1438.406","180",""
"D1.3.37","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","3688.914","1438.406","180",""
"D1.3.36","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","4438.914","1438.406","180",""
"D1.3.35","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5188.914","1438.406","180",""
"D1.3.34","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5938.914","1438.406","180",""
"D1.3.33","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","6688.914","1438.406","180",""
"D1.3.32","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","7438.914","1438.406","180",""
"D1.3.31","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8188.914","1438.406","180",""
"D1.3.30","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8938.914","1438.406","180",""
"D1.3.29","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","9970.164","1438.406","180",""
"D1.3.28","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","595.164","688.406","180",""
"D1.3.27","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","1438.914","688.406","180",""
"D1.3.26","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2188.914","688.406","180",""
"D1.3.25","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","2938.914","688.406","180",""
"D1.3.24","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","3876.414","688.406","180",""
"D1.3.23","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","4813.914","688.406","180",""
"D1.3.22","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","5563.914","688.406","180",""
"D1.3.21","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","6501.414","688.406","180",""
"D1.3.20","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","7438.914","688.406","180",""
"D1.3.19","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","8376.413","688.406","180",""
"D1.3.18","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","9407.664","688.406","180",""
"D1.3.17","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","10251.414","688.406","180",""
"D1.3.16","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11001.414","688.406","180",""
"D1.3.15","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11751.414","688.406","180",""
"D1.3.14","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11001.414","1438.406","180",""
"D1.3.13","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11751.412","2938.406","180",""
"D1.3.12","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","12501.412","2938.406","180",""
"D1.3.11","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","13251.412","2938.406","180",""
"D1.3.10","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11751.412","2188.406","180",""
"D1.3.9","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","12501.412","2188.406","180",""
"D1.3.8","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","13251.412","2188.406","180",""
"D1.3.7","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","14001.412","2563.406","180",""
"D1.3.6","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","11751.412","1438.406","180",""
"D1.3.5","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","12501.412","1438.406","180",""
"D1.3.4","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","13251.412","1438.406","180",""
"D1.3.3","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","12501.414","688.406","180",""
"D1.3.2","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","13251.412","688.406","180",""
"D1.3.1","Addressable RGB LED","TopLayer","BL-HRGB32M-TRB","14001.412","1063.406","180",""
"C3.2","100n","BottomLayer","0402","11953.050","3362.500","0",""
"C2.2","100n","BottomLayer","0402","5201.516","3362.500","0",""
"C1.2","100n","BottomLayer","0402","706.516","3362.500","0",""
